time_sec,spectral_centroid_hz,spectral_bandwidth_hz,spectral_flatness,spectral_rolloff_hz,spectral_peakiness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms_env,wheeze_candidate
27.264,179.91697370136694,88.64171843100299,0.0073964366979484795,242.1875,0.12171745312716521,-166.69356078686477,14.52280770639786,1.582274327547589,-3.1885708532939114,-5.213185566123233,-5.743793226697049,-5.186326112933708,-3.6460003239978027,-2.5486403214876017,-1.8057158272396034,-1.6556982662333055,-1.5763587757483841,-1.3129813328092215,0.007779422801520075,0
27.392,168.57437598964682,75.86970844946701,0.0035566370980875967,203.125,0.09339496285340093,-160.84612282006765,18.40886242390927,0.028688461849322805,-4.11953784830424,-3.8226773114468733,-4.838030322053405,-5.839942944129963,-4.705739830569456,-3.7972462559143336,-3.3288462751398686,-2.499534680150374,-1.2380541286291158,-1.1559411490446645,0.008509553077497666,0
27.52,217.52850901030476,109.41756176029334,0.006988321128375195,289.0625,0.0654357622764237,-161.58901374619484,17.118117795673452,-2.1898424747327097,-6.603701838002052,-4.940784544601135,-4.215514827225272,-4.917651991428972,-4.108545789217975,-2.8225961263370904,-1.81684873817949,-1.2132235246419056,-1.242167328195956,-1.5034890326334764,0.007929551747760602,0
27.648,355.03451121870364,161.15654139691281,0.011697407167024929,484.375,0.04917446466162332,-154.7455300761195,16.74264161696182,-8.648884116809057,-8.05102562434723,-3.663675483927638,-1.400069617035011,-3.203482786483079,-4.02502116557846,-4.352915422508802,-3.3087682377532985,-2.153171382385107,-1.2315303776073987,-0.47174234094010103,0.007859223881470305,0
27.776,204.1444580263719,119.43125007617104,0.009316440463973114,304.6875,0.07314756402379095,-162.01545635934843,16.54255981401466,-1.5993939973307978,-4.778441981125178,-3.32484025917375,-3.337952510819368,-4.037217094281482,-3.8446588924506786,-4.290927014168114,-3.884220854074072,-2.431733122752237,-0.8940278454687085,-0.4744535027571992,0.007276428490877168,0
27.904,218.90203393229638,114.8187954125359,0.0072635350447828395,328.125,0.07892912153648211,-162.05959022364544,17.425216060181388,-0.7898156098441292,-5.408503495025885,-4.612148067124888,-4.090678411308662,-3.3413629311573274,-2.5014006907316686,-3.3545489019140575,-3.9092199894352575,-3.3894106880598174,-1.8699760579744487,-0.5068284902610145,0.003916523851720389,0
28.032,173.65353903924867,96.06946138218268,0.009612579497833684,242.1875,0.06467347843545002,-168.91221283365428,13.422786554895605,2.2579942469799317,-2.3728939095467787,-3.9641994170865464,-4.720497004439586,-4.722815367288325,-3.50307963166871,-2.8338960285747747,-2.5439412920251616,-2.3216010800428517,-1.6910382139367641,-1.178054699870482,0.004617265744933075,0
28.16,183.61259507573337,115.67106939301672,0.0117685476379626,277.34375,0.12523454727881606,-166.40940916707615,14.37333136988676,0.3675453429666848,-3.8368786849950585,-4.1731531418840335,-4.0230235436704005,-3.9839190236727484,-3.4026823583140646,-3.0857883446381273,-2.9449735057626283,-2.796745922215207,-1.8808338250541492,-1.0225041634422594,0.00637246375637395,0
28.288,158.1356178198672,83.66395421494323,0.005499271288415475,234.375,0.15018825759153118,-163.81604495005064,17.105524202662465,2.684337800473169,-2.497872685510729,-4.885711932265664,-4.960109262196781,-4.309735199378914,-3.6849062184976384,-3.600431927862047,-3.0984927380078706,-2.6887221973820132,-1.938268967865362,-1.8630234452531989,0.004309163043009397,1
28.416,170.2470794604442,94.00690631641163,0.008631233246113382,226.5625,0.11821888416383271,-169.41851139174832,12.989369355406936,2.3971169548525455,-2.121010290700083,-4.635021309676228,-5.481210849518557,-5.053058928762949,-3.860667006260576,-2.2837757568133017,-1.648754708161707,-2.2949832538704014,-2.2150092792396325,-1.2001897742418044,0.01141255879774646,0
28.544,201.43884103609233,106.20194816017987,0.009218995487603252,296.875,0.07175763309897903,-167.9272583558038,14.014357426923434,1.8362515864343463,-3.101286056321994,-4.804553914879104,-4.845929664849052,-4.270888315115442,-3.0908278464056784,-1.8475051429652742,-1.5141462496755345,-2.1567509068900987,-2.543440705615514,-2.6787303346310565,0.07881648817232698,0
28.672,279.4482750009993,53.16194019621857,0.00016355404955091713,281.25,0.23049444638273797,-148.72312988999514,20.832619384264298,-5.3519430820560565,-6.674178745785216,-6.786366953451177,-6.557948355420518,-7.491629114403109,-4.875418247568991,-2.0858597492709277,3.0588556741935005,1.1498337106290952,-5.86831952932953,-9.926613006268294,0.06463120521179226,1
28.8,276.12692459559076,62.26902779945408,0.000616472450245516,273.4375,0.2104218568638418,-161.61434114442386,17.085699880303167,-2.314113046116235,-7.259501631806416,-5.83083317936433,-4.550076899040583,-4.660772158104372,-3.8067964551849354,-1.8634769027915328,1.2493510206101364,1.9835181011856364,-2.172042802934436,-6.533231212146256,0.022252481164676798,1
28.928,266.2199815090869,68.83921142961134,0.0018897329197568632,312.5,0.12185907415462248,-154.94005094766848,21.06650213144508,-4.922478480606159,-11.99774253697976,-8.597110301623136,-4.623652935857597,-4.833203697496995,-2.5531047182379076,-0.16740442159735264,-0.2178665246292407,-1.6052825697126485,-1.7267260764702637,-0.853334473405442,0.04659052406038557,0
29.056,243.89029616323856,41.132153807230644,0.0006025353711750308,250.0,0.26069706474040966,-148.8970990017828,22.905550566384697,-5.362321323049249,-10.627579069866858,-8.43875468977442,-4.54472799588315,-5.885817102990149,-5.124002761860664,-1.7865983974882527,1.0300318463601732,-1.214220829266524,-1.9949119262409785,-1.5727788456970808,0.024792799300381297,1
29.184,160.54108284381613,62.09931923554389,0.001955935226745392,199.21875,0.1103098514223455,-160.82963524774607,20.039465389007884,2.070051375815888,-4.405380725683456,-5.244166469682629,-5.352233491636683,-5.872147645176074,-5.162627890822487,-4.042350635428162,-3.009046755053914,-2.58415124500232,-2.2153915555277566,-1.5276857622235007,0.005644970659964782,0
29.312,181.03550405624875,105.52279050710806,0.011001303361306405,257.8125,0.08041189959011519,-169.26486235309346,13.153006461034883,1.981848919856044,-2.781919833917275,-4.273559349308928,-4.692451797044058,-4.168962470594687,-2.8633645910287755,-2.4392547256564647,-2.450432744845686,-2.564167011894966,-1.8520698388774255,-0.8537208276858838,0.004272227800850371,0
29.44,170.18511621995444,91.26743545053495,0.008287133273400029,199.21875,0.06877453942120061,-167.73267020338636,14.016105567575195,1.9332750339782507,-2.0188399853493477,-3.65217434648327,-4.757164676198065,-4.914916501643658,-4.074398529384335,-3.2709936297862408,-2.656112139985894,-2.313283318086467,-1.7561796757943027,-1.1020448789719064,0.0056744286391351905,0
29.568,173.08230174361563,90.82930151568527,0.007754955934227684,195.3125,0.11626329914770546,-166.5969750843065,14.391083993881853,1.6573055775584895,-1.7072855863121652,-3.3987625179374223,-5.428842339609019,-5.79682350298563,-3.8129285310926866,-2.7316267116773965,-2.696196487132198,-2.3820735947922715,-1.3500948740203103,-0.6467791087425816,0.003278406589691142,0
29.696,198.07680279743246,137.0654222613678,0.0195283597660057,257.8125,0.09822819875293491,-167.73852068125473,12.489019741729201,-0.22048227199582027,-2.693408546067733,-3.2411038204608795,-4.328750197863123,-4.282084749396308,-3.1172299476285357,-2.7585441355264724,-2.3673603676190362,-1.6607042934381564,-1.04636068846899,-1.045434936810276,0.0035681212520493433,0
29.824,207.23050655130163,142.09615467777004,0.020458091874554617,316.40625,0.08329640510581017,-170.87712366489325,11.045347064159255,0.8267471187158626,-2.116709710650944,-2.8719524126269924,-3.991284245235785,-4.045283972330169,-2.680601369061942,-1.9638340203630713,-2.2639301002881584,-2.40943296003529,-1.3890803320548308,-0.5495898167585695,0.0070109417129840335,0
29.952,151.1872917405905,67.66256231359546,0.003748589780863665,187.5,0.10718173274973522,-164.51846504077253,16.685303668652097,3.706585913753324,-1.3106334864404166,-4.358129080190467,-5.758037557303804,-5.648469265904889,-4.380782723896112,-3.8877102649728386,-3.007252127944258,-2.6695766323369634,-2.341928958005903,-2.0131047743425805,0.006318009272217738,0
30.08,192.13969272723787,80.31282616799183,0.006893291317086882,242.1875,0.05396257184151373,-167.28824424259625,14.425917535542382,1.8670087523085956,-3.345793486260127,-5.76243432985143,-6.34038256845475,-5.386753420362559,-3.78913992431045,-2.514748509802881,-1.4993200050930717,-1.3124635595730656,-0.7613174276212172,-0.4083379348598395,0.0034972422623209256,0
30.208,188.4676071219177,134.02746797662138,0.01736486613488892,250.0,0.09892085319684875,-169.3693504430733,11.644985808836086,0.42621696611548865,-2.053678097066406,-3.1884854500104267,-4.72811132361254,-4.453949239370809,-3.0862737194863676,-2.7648628476363806,-2.4016347981457864,-1.9693416377537876,-1.3716784478829265,-0.7003358233230716,0.005288231725405355,0
30.336,156.49183343058,68.5371558857105,0.00424038554078592,191.40625,0.09264395603775054,-165.2912959475875,15.849331843151738,2.8994367898405833,-0.7713273675550136,-3.0508529693409505,-5.075632234909994,-5.289316738115113,-4.753884137731775,-4.751665053197707,-3.8085098411193155,-2.279473922403933,-0.7750508805585057,-0.8145265069047863,0.00572105116610016,0
30.464,177.0393676538365,100.38040656616016,0.009704887637906081,238.28125,0.12122974492035785,-167.34066953124304,14.267661006968876,1.5097755427321862,-3.300537157457774,-4.6405249746116795,-4.683364486219993,-3.975811765489965,-3.0823307683343515,-3.119091523185859,-3.202054274705582,-2.7647479417701617,-1.3596235286465772,-0.4220379909196159,0.00834418354289865,0
30.592,207.42674922626156,114.38722314631828,0.007066404746054374,277.34375,0.06434610961789687,-158.6006782160399,18.206425459212888,-3.0853772621445756,-6.557600345546257,-4.701505322164424,-3.9877247404477965,-5.167082642223365,-4.778091351655029,-3.987963850798024,-2.7174268557246135,-1.8238629478309205,-1.4106049046109783,-1.0996449032520401,0.011274090861635534,0
