Time(s),Amplitude
3.101750000,0.006400459
3.101812500,0.005745592
3.101875000,0.005238320
3.101937500,0.004824684
3.102000000,0.004423847
3.102062500,0.003994431
3.102125000,0.003511889
3.102187500,0.002983664
3.102250000,0.002447235
3.102312500,0.001975353
3.102375000,0.001589459
3.102437500,0.001263477
3.102500000,0.000941244
3.102562500,0.000512178
3.102625000,0.000029329
3.102687500,-0.000446694
3.102750000,-0.000847120
3.102812500,-0.001202442
3.102875000,-0.001497259
3.102937500,-0.001797626
3.103000000,-0.002164861
3.103062500,-0.002660769
3.103125000,-0.003195738
3.103187500,-0.003714119
3.103250000,-0.004235599
3.103312500,-0.004938604
3.103375000,-0.005960612
3.103437500,-0.007394054
3.103500000,-0.009130068
3.103562500,-0.010863876
3.103625000,-0.012149229
3.103687500,-0.012724349
3.103750000,-0.012706795
3.103812500,-0.012645830
3.103875000,-0.013222719
3.103937500,-0.014913049
3.104000000,-0.017601265
3.104062500,-0.020516893
3.104125000,-0.022524985
3.104187500,-0.022793315
3.104250000,-0.021366240
3.104312500,-0.019352164
3.104375000,-0.018494273
3.104437500,-0.020278625
3.104500000,-0.024942968
3.104562500,-0.030956270
3.104625000,-0.035317212
3.104687500,-0.034681000
3.104750000,-0.026825456
3.104812500,-0.011806074
3.104875000,0.007776747
3.104937500,0.027583966
3.105000000,0.043108981
3.105062500,0.051330131
3.105125000,0.051741689
3.105187500,0.046331789
3.105250000,0.038591005
3.105312500,0.032029778
3.105375000,0.028886368
3.105437500,0.029505396
3.105500000,0.032567047
3.105562500,0.035929527
3.105625000,0.037641712
3.105687500,0.036674101
3.105750000,0.033131793
3.105812500,0.027980858
3.105875000,0.022523740
3.105937500,0.017883807
3.106000000,0.014683408
3.106062500,0.012973023
3.106125000,0.012373208
3.106187500,0.012296165
3.106250000,0.012142048
3.106312500,0.011445620
3.106375000,0.009974655
3.106437500,0.007785156
3.106500000,0.005176842
3.106562500,0.002589276
3.106625000,0.000458656
3.106687500,-0.000899290
3.106750000,-0.001411866
3.106812500,-0.001270551
3.106875000,-0.000845842
3.106937500,-0.000499907
3.107000000,-0.000470622
3.107062500,-0.000798522
3.107125000,-0.001364160
3.107187500,-0.001906419
3.107250000,-0.002164861
3.107312500,-0.001972267
3.107375000,-0.001332972
3.107437500,-0.000337523
3.107500000,0.000847120
3.107562500,0.001992174
3.107625000,0.002974990
3.107687500,0.003652986
3.107750000,0.003953225
3.107812500,0.003862568
3.107875000,0.003529722
3.107937500,0.003097326
3.108000000,0.002729608
3.108062500,0.002568137
3.108125000,0.002787874
3.108187500,0.003448365
3.108250000,0.004517972
3.108312500,0.005851554
3.108375000,0.007297807
3.108437500,0.008619135
3.108500000,0.009600690
3.108562500,0.010113446
3.108625000,0.010187642
3.108687500,0.009968421
3.108750000,0.009694814
3.108812500,0.009623481
3.108875000,0.009959817
3.108937500,0.010748464
3.109000000,0.011859675
3.109062500,0.013025726
3.109125000,0.013919310
3.109187500,0.014262049
3.109250000,0.013930413
3.109312500,0.013005036
3.109375000,0.011736830
3.109437500,0.010450246
3.109500000,0.009412440
3.109562500,0.008735390
3.109625000,0.008356878
3.109687500,0.008105527
3.109750000,0.007812326
3.109812500,0.007410461
3.109875000,0.006949250
3.109937500,0.006551167
3.110000000,0.006306335
3.110062500,0.006192477
3.110125000,0.006062733
3.110187500,0.005728376
3.110250000,0.005082718
3.110312500,0.004190436
3.110375000,0.003291928
3.110437500,0.002679610
3.110500000,0.002541359
3.110562500,0.002832446
3.110625000,0.003285156
3.110687500,0.003511533
3.110750000,0.003200230
3.110812500,0.002274869
3.110875000,0.000947871
3.110937500,-0.000400490
3.111000000,-0.001411866
3.111062500,-0.001936999
3.111125000,-0.002086153
3.111187500,-0.002179139
3.111250000,-0.002541359
3.111312500,-0.003307648
3.111375000,-0.004312245
3.111437500,-0.005172981
3.111500000,-0.005459215
3.111562500,-0.004909273
3.111625000,-0.003542332
3.111687500,-0.001701875
